featCount,majorGroup,sumPopTota,sumpopAcce,Area,pctAccess,GreenArea,grnPerPers
269,Black,755569.000000000000000,482152.999999999941792,196481793.500,63.800,13498778.100,17.866
190,White,660728.000000000000000,485254.000000000000000,118606373.600,73.400,11511111.370,17.422
178,Mixed,669499.000000000000000,510794.000000000000000,145342623.200,76.300,8965316.505,13.391
146,Latinx,579637.000000000000000,332655.000000000058208,96215419.590,57.400,2667938.937,4.603
4,Asian,13875.000000000000000,10876.000000000000000,1983068.428,78.400,27682.500,1.995
