featCount,iso_major,cntmedValu,avgmedValu
9,Isolated Black,9,1357.888888888888914
198,Isolated White,198,4144.904040404040643
3,Mixed Black,3,1956.333333333333258
6,Mixed White,6,1378.666666666666742
