featCount,iso_major,cntmedValu,avgmedValu
76,Isolated Black,72,77408.333333333328483
157,Isolated White,157,284534.394904458604287
38,Mixed Black,37,130743.243243243239704
69,Mixed White,69,186571.014492753631203
