featCount,iso_major,cntmedValu,avgmedValu
71,Isolated Black,71,75926.760563380288659
144,Isolated White,144,274204.166666666686069
36,Mixed Black,36,127780.555555555562023
69,Mixed White,69,186571.014492753631203
